一百多年来中华民族矢志不渝的奋斗目标是什么？,强国富民。
文化自信为什么重要？,它是更基础、更广泛、更深厚的自信，是国家民族发展中最基本、最深沉、最持久的力量。
坚定文化自信，事关__________、__________和__________的传承发展。,国运兴衰、文化安全、民族精神
发展中国特色社会主义文化，应如何对待中华优秀传统文化？,推动中华优秀传统文化创造性转化、创新性发展。
发展中国特色社会主义文化，应如何处理不同文化的关系？,继承革命文化、发展社会主义先进文化。不忘本来，吸收外来，面向未来。
中华民族精神的内涵是什么？,以爱国主义为核心的团结统一、爱好和平、勤劳勇敢、自强不息的民族精神。
爱国主义的本质是什么？,坚持爱国与爱党、爱社会主义高度统一。
伟大的民族精神是中华民族发展壮大的__________，维系我国各族人民团结奋斗的__________，是激励中华儿女奋斗的__________。,精神支柱、精神纽带、精神动力
文化最深层的内核是什么？,价值观。
社会主义核心价值观是当代中国精神的__________，是当代中国人评判是非曲直的__________。,集中体现、价值标准
为什么说人口问题是全局性、长期性、战略性问题？,因为人口是社会发展的主体，是影响可持续发展的关键变量。
我国当前的国情中，人口发展呈现哪些特征？,从增量发展转向减量发展，呈现少子化、老龄化、区域人口增减分化等特征。
人类赖以生存的物质基础是什么？,资源。
人类的生存之本、发展之源是什么？,生态环境。
坚持人与自然和谐共生，需要以什么为基础、准则和目标？,以资源环境承载能力为基础，以自然规律为准则，以可持续发展、人与自然和谐共生为目标。
为坚持人与自然和谐共生，我国坚持哪两项基本国策？,节约资源和保护环境。
为坚持人与自然和谐共生，我国贯彻什么样的新发展理念？,创新、协调、绿色、开放、共享。
坚持绿色发展道路，要坚持__________优先、保护优先、自然恢复为主的方针。,节约
判断题：保护生态环境就是保护生产力，改善生态环境就是发展生产力。,正确。
我国各民族的分布格局是怎样的？,大杂居、小聚居、交错居住。
我国处理民族关系的方针是什么？,民族平等、民族团结和各民族共同繁荣。
我国的社会主义新型民族关系是怎样的？,平等团结互助和谐。
新时代党的民族工作的主线是什么？,铸牢中华民族共同体意识。
判断题：维护和促进民族团结，是每个公民的神圣职责和光荣权利。,错误，是神圣职责和光荣义务。
“一国两制”的定义是什么？,一个国家，两种制度。
“一国两制”的地位是什么？,中国特色社会主义的一个伟大创举。
“一国”与“两制”的关系是怎样的？,“一国”是“两制”的前提和基础，“两制”从属和派生于“一国”并统一于“一国”之内。
解决台湾问题的有利条件有哪些？（列举两项）,①实现祖国完全统一是中华民族根本利益所在；②两岸同胞同根同源；③我国综合国力显著增强；④“和平统一、一国两制”的方针引领。（任选两项）
判断题：民族区域地方享有高度自治权。,错误，港澳台享有高度自治权，民族地区享有一定的自治权。
什么是中国梦？其基本内涵是什么？,中国梦是实现中华民族的伟大复兴，基本内涵是国家富强、民族振兴、人民幸福。
第一个百年奋斗目标是什么？何时实现？,到建党一百年时（2021年），全面建成小康社会。【已经实现】
第二个百年奋斗目标是什么？计划何时实现？,到新中国成立一百年时（2049年），全面建成社会主义现代化强国。
进入新时代，党的指导思想包含哪些？,马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观、习近平新时代中国特色社会主义思想。
实现中国梦必须走中国道路，这里的“中国道路”指的是什么？,中国特色社会主义道路。
实现中国梦必须弘扬中国精神，这里的“中国精神”指的是什么？,以爱国主义为核心的民族精神和以改革创新为核心的时代精神。
实现中国梦必须凝聚中国力量，这里的“中国力量”指的是什么？,全国各族人民大团结的力量。
“五位一体”总体布局指的是什么？,经济建设、政治建设、文化建设、社会建设、生态文明建设。
“四个全面”战略布局指的是什么？,全面建设社会主义现代化国家、全面深化改革、全面依法治国、全面从严治党。
中国自信、民族自信的根本所在是什么？,中国特色社会主义道路、理论体系、制度、文化（四个自信）。
为什么说要共享发展成果？（原因）,共同富裕是中国特色社会主义的本质要求；人民对美好生活的向往是党的奋斗目标；发展的根本目的是增进民生福祉。
共享发展成果的意义是什么？,有利于让人民群众共享发展成果，引领全体人民朝着共同富裕方向稳步前进；有利于缓解社会主要矛盾；有利于促进社会公平正义。
